"idhod","hodnota","stapro_kod","typezar_cis","typezar_kod","pnet_cis","pnet_kod","pocdospvdom_cis","pocdospvdom_kod","pocdetivdom_cis","pocdetivdom_kod","velskupobce_cis","velskupobce_kod","kvartilcpdom_cis","kvartilcpdom_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt","stapro_txt","typezar_txt","pnet_text","pocdospvdom_txt","pocdetivdom_txt","velskupobce_txt","kvartilcpdom_txt"
"916837993","73.6","7640",,,,,"7700","400002600003000","7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","1 a více",,
"916836636","40.4","7640",,,"5725","02",,,,,"7700","399999632000000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"do 1999",
"916837261","86.4","7640",,,,,,,,,,,"7700","410075620100000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"čtvrtý (nejvyšší) kvartil"
"916837814","71.2","7640",,,,,"7700","400003799999000","7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","0",,
"916837044","80","7640",,,"5725","02",,,,,,,"7700","410075620100000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"čtvrtý (nejvyšší) kvartil"
"916837607","41","7640",,,,,,,"7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,"0",,
"916837916","48.8","7640",,,,,"7700","400001600002000","7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","1 a více",,
"916836723","51.2","7640",,,"5725","02",,,,,"7700","445000799999000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"50000 a více",
"916838160","45.3","7640",,,,,,,,,"7700","432000641000000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"2000 – 9999",
"916836942","64.4","7640",,,"5725","02",,,,,,,"7700","410050610075000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"třetí kvartil"
